layer,example_id,baseline_mc_entropy,baseline_conf_signal,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,delta_mc_entropy,delta_conf_signal
0,16,0.03965812176465988,0.27619171142578125,ablation,random,ablate,0.0396868089834849,0.27591908772786455,2.8687218825020067e-05,-0.00027262369791669627
0,17,0.0007249472546391189,0.7302702635526657,ablation,entropy,ablate,0.0007242990541271865,0.731628879904747,-6.48200511932373e-07,0.0013586163520813432
0,17,0.0007249472546391189,0.7302702635526657,ablation,confidence,ablate,0.0007347115897573531,0.7325427412986756,9.764335118234158e-06,0.0022724777460099155
0,17,0.0007249472546391189,0.7302702635526657,ablation,random,ablate,0.0007283809051538507,0.7310636033614477,3.4336505147317684e-06,0.0007933398087820454
0,18,0.0003064962802454829,0.5094694525003434,ablation,entropy,ablate,0.00031480981851927936,0.5089911460876465,8.31353827379644e-06,-0.0004783064126968606
0,18,0.0003064962802454829,0.5094694525003434,ablation,confidence,ablate,0.000305824913084507,0.5109360620379447,-6.713671609759331e-07,0.00146660953760136
0,18,0.0003064962802454829,0.5094694525003434,ablation,random,ablate,0.000307108120371898,0.5101334949334462,6.118401264150757e-07,0.0006640424331028072
0,19,0.0007304625469259918,0.530029010772705,ablation,entropy,ablate,0.0007304625469259918,0.5308035850524903,0.0,0.0007745742797852229
0,19,0.0007304625469259918,0.530029010772705,ablation,confidence,ablate,0.0007304625469259918,0.5311448097229003,0.0,0.0011157989501953125
0,19,0.0007304625469259918,0.530029010772705,ablation,random,ablate,0.0007251475472003222,0.5305880228678385,-5.314999725669622e-06,0.0005590120951334265
0,20,1.1185470819473267,0.343448257446289,ablation,entropy,ablate,1.1183992624282837,0.3438385009765625,-0.00014781951904296875,0.0003902435302735041
0,20,1.1185470819473267,0.343448257446289,ablation,confidence,ablate,1.1177369356155396,0.34321479797363286,-0.0008101463317871094,-0.00023345947265612788
0,20,1.1185470819473267,0.343448257446289,ablation,random,ablate,1.1187686920166016,0.3433592478434244,0.00022161006927490234,-8.900960286456483e-05
0,21,0.08057229220867157,0.6009518653154373,ablation,entropy,ablate,0.08019574731588364,0.599938416481018,-0.00037654489278793335,-0.0010134488344193393
0,21,0.08057229220867157,0.6009518653154373,ablation,confidence,ablate,0.07954282313585281,0.6001014843583108,-0.001029469072818756,-0.0008503809571265286
0,21,0.08057229220867157,0.6009518653154373,ablation,random,ablate,0.08046018083890279,0.599723028143247,-0.00011211136976878311,-0.0012288371721903557
0,22,1.1924978494644165,0.5258880615234375,ablation,entropy,ablate,1.1937130689620972,0.526154899597168,0.001215219497680664,0.00026683807373051316
0,22,1.1924978494644165,0.5258880615234375,ablation,confidence,ablate,1.1892834901809692,0.5254673004150391,-0.0032143592834472656,-0.0004207611083983931
0,22,1.1924978494644165,0.5258880615234375,ablation,random,ablate,1.1907600164413452,0.5255966822306314,-0.001737833023071289,-0.0002913792928060932
