layer,example_id,baseline_mc_entropy,baseline_conf_signal,intervention_type,direction,alpha,post_mc_entropy,post_conf_signal,delta_mc_entropy,delta_conf_signal
0,6,0.8596900105476379,0.6422719001770019,steering,confidence,3.0,0.9264837503433228,0.6294563174247741,0.06679373979568481,-0.012815582752227717
0,6,0.8596900105476379,0.6422719001770019,steering,random,-3.0,0.9142213463783264,0.6520064036051432,0.05453133583068848,0.009734503428141306
0,6,0.8596900105476379,0.6422719001770019,steering,random,3.0,0.815778652826945,0.6673407713572184,-0.04391135772069299,0.0250688711802165
0,7,0.40181252360343933,0.6440155029296875,steering,entropy,-3.0,0.6605046987533569,0.6438098430633544,0.2586921751499176,-0.00020565986633303002
0,7,0.40181252360343933,0.6440155029296875,steering,entropy,3.0,0.40635204315185547,0.6801192283630371,0.004539519548416138,0.03610372543334961
0,7,0.40181252360343933,0.6440155029296875,steering,confidence,-3.0,0.5069693326950073,0.6906745076179504,0.105156809091568,0.046659004688262895
0,7,0.40181252360343933,0.6440155029296875,steering,confidence,3.0,0.7864491939544678,0.6558763623237609,0.38463667035102844,0.011860859394073442
0,7,0.40181252360343933,0.6440155029296875,steering,random,-3.0,0.8146829803784689,0.6718150258064272,0.41287045677502954,0.027799522876739702
0,7,0.40181252360343933,0.6440155029296875,steering,random,3.0,0.6689159075419108,0.6831636230150858,0.26710338393847144,0.039148120085398364
0,8,0.00012029499339405447,0.6732278317213058,steering,entropy,-3.0,0.00027772359317168593,0.6652965694665909,0.00015742859977763146,-0.007931262254714966
0,8,0.00012029499339405447,0.6732278317213058,steering,entropy,3.0,8.047796291066334e-05,0.7040069743990898,-3.9817030483391136e-05,0.03077914267778392
0,8,0.00012029499339405447,0.6732278317213058,steering,confidence,-3.0,0.00012258606147952378,0.7123862564563751,2.2910680854693055e-06,0.03915842473506925
0,8,0.00012029499339405447,0.6732278317213058,steering,confidence,3.0,0.0002771110157482326,0.6486540690064431,0.00015681602235417813,-0.02457376271486278
