,conf_L12_c,conf_L12_e,conf_L12_rnorm,conf_L14_c,conf_L14_e,conf_L14_rnorm,conf_L15_c,conf_L15_e,conf_L15_rnorm,conf_L16_c,conf_L16_e,conf_L16_rnorm,conf_L18_c,conf_L18_e,conf_L18_rnorm,conf_L20_c,conf_L20_e,conf_L20_rnorm,conf_L24_c,conf_L24_e,conf_L24_rnorm,conf_L28_c,conf_L28_e,conf_L28_rnorm,conf_L31_c,conf_L31_e,conf_L31_rnorm
conf_L16_e,-0.694362680191757,0.7567158233916821,0.30978481325859575,-0.9144136701924501,0.9359507091724024,0.15917225492969186,-0.9717837463235086,0.993657667159989,-0.4650695326061293,-0.9738041340426892,1.0,-0.7335079181327089,-0.9446430997664338,0.9825341375658941,-0.7304298747075074,-0.9609548364280474,0.9840614913259403,-0.5353095520602345,-0.9689718645972257,0.985040179560895,0.8270037024797877,-0.9682392898394079,0.9785766437213202,0.3552067210975905,-0.9755388767615388,0.9583205959237733,0.9651400695967096
conf_L16_rnorm,0.4989707864243301,-0.5756612222307335,-0.24135860784279514,0.6092943796817357,-0.640420786602702,-0.012165543191303928,0.7248107807728953,-0.7206224573174498,0.6770728752039911,0.7291994142081217,-0.7335079181327089,1.0,0.7051645911936975,-0.7413508092716405,0.7762538615798358,0.7141404376638326,-0.7470956739801692,0.6764923363011888,0.7215121955952886,-0.7658682267073622,-0.5493608151042992,0.7258756870169917,-0.776713903019264,-0.20588340408915554,0.7473739323441342,-0.7826298675960633,-0.7340136391830485
conf_L18_c,0.6315648825963271,-0.68755646111602,-0.25643962128227066,0.8912621522143196,-0.8542140679122525,-0.20174785193072453,0.9750731564477559,-0.9262307354950495,0.5255015505427872,0.985614958512869,-0.9446430997664338,0.7051645911936975,1.0,-0.9816208704611825,0.77726651957307,0.9973392871757741,-0.971098638985654,0.5678999864472822,0.9934421320331922,-0.9524011560255453,-0.8476732505235502,0.9923711073105479,-0.9440553348169739,-0.3783320228688494,0.9715562301228094,-0.9176504229937141,-0.9341631900024435
conf_L18_e,-0.6624786084936376,0.7289800023702987,0.28984521345825176,-0.904753170077234,0.9009168593595202,0.16150803103716777,-0.9800841384667166,0.9709929697181877,-0.509522662595203,-0.9862827183458625,0.9825341375658941,-0.7413508092716405,-0.9816208704611825,1.0,-0.7654142402257444,-0.9898393733877336,0.9973574136752298,-0.5684984037852852,-0.9920851872193497,0.9906164298279415,0.8624904621562084,-0.9914943508752551,0.9847006154816252,0.400912596234576,-0.988429305762189,0.9630525901285145,0.9697150241730467
conf_L18_rnorm,0.48579960469437533,-0.615160631628935,-0.181174463950571,0.7313282338794648,-0.704374960199246,-0.10973193709377953,0.7562453107563113,-0.7251416233144499,0.5196427616403332,0.7651527469483359,-0.7304298747075074,0.7762538615798358,0.77726651957307,-0.7654142402257444,1.0,0.7663610625820206,-0.7514213526186312,0.8449311052313405,0.7628827578094672,-0.7512577719332445,-0.5308410552159996,0.7637222525109597,-0.7503540958894473,-0.15656612985913765,0.7604192885066716,-0.7521460235742402,-0.7241504117156289
conf_L20_c,0.6439881305906309,-0.7007190712487009,-0.2709891421539492,0.8943901418276583,-0.869595218973991,-0.1895059211811626,0.9802971615382577,-0.9430649064491758,0.5173271590971499,0.9906066301950768,-0.9609548364280474,0.7141404376638326,0.9973392871757741,-0.9898393733877336,0.7663610625820206,1.0,-0.9835290683240624,0.5548642736720701,0.9983503102018736,-0.9679111891372659,-0.860012316118865,0.9971191354972021,-0.9602010879260702,-0.38472872378144135,0.9811381228526608,-0.9337724458273585,-0.9496191520033976
conf_L20_e,-0.6589489584357545,0.7227651377584638,0.2954355045760242,-0.8890189622977787,0.8963551534199947,0.14832514185848694,-0.9727853190002046,0.9718920788176988,-0.5001303554546268,-0.979773060513032,0.9840614913259403,-0.7470956739801692,-0.971098638985654,0.9973574136752298,-0.7514213526186312,-0.9835290683240624,1.0,-0.5494570618094721,-0.9871525802129242,0.9951658074646232,0.8714084905126647,-0.9865075957204009,0.990554306207857,0.4111779347297343,-0.9867564294266257,0.9682709358268407,0.9746287654282293
conf_L20_rnorm,0.43453738846558854,-0.5980165641354928,-0.18056608661531448,0.6068378093212264,-0.5763132436457566,-0.012874811512432274,0.5747501979883176,-0.5477835570203515,0.5745655334834595,0.5664231658643731,-0.5353095520602345,0.6764923363011888,0.5678999864472822,-0.5684984037852852,0.8449311052313405,0.5548642736720701,-0.5494570618094721,1.0,0.5571195235195049,-0.5696841031971606,-0.22617025808246055,0.5624081975419399,-0.5782165950097721,0.012747260775946357,0.5785414735587564,-0.6034093672018486,-0.547130009610765
conf_L24_c,0.655553269240475,-0.7144025323880651,-0.27944036416218565,0.9024239030545018,-0.8827558772411694,-0.18375245801767312,0.983117020010691,-0.9533545637913016,0.5181844903917289,0.9913989748311044,-0.9689718645972257,0.7215121955952886,0.9934421320331922,-0.9920851872193497,0.7628827578094672,0.9983503102018736,-0.9871525802129242,0.5571195235195049,1.0,-0.9756146723448433,-0.8583502077024555,0.9993423078819366,-0.9679508212798011,-0.3720998167701864,0.9873930043382239,-0.9432742517859634,-0.9570560854661867
conf_L24_e,-0.6698982321454764,0.7420339218741446,0.30759813218100374,-0.893835670474056,0.9084885407483946,0.13522850481065432,-0.9672339296622637,0.978122885948499,-0.511380984053594,-0.9700174368969602,0.985040179560895,-0.7658682267073622,-0.9524011560255453,0.9906164298279415,-0.7512577719332445,-0.9679111891372659,0.9951658074646232,-0.5696841031971606,-0.9756146723448433,1.0,0.8532987228871534,-0.9759357269436347,0.9974509378834959,0.39840710854714356,-0.9857652247359535,0.9804216212971912,0.9777357695060145
conf_L24_rnorm,-0.4619771211934773,0.47000211961171706,0.1939028947437851,-0.686072639397797,0.6789844713810262,0.1582473707447616,-0.8132397967213144,0.799138260203675,-0.3175171042583728,-0.8347387013418259,0.8270037024797877,-0.5493608151042992,-0.8476732505235502,0.8624904621562084,-0.5308410552159996,-0.860012316118865,0.8714084905126647,-0.22617025808246055,-0.8583502077024555,0.8532987228871534,1.0,-0.8543686927061078,0.845284322735629,0.6576523910707327,-0.8464907507939172,0.8164150628879087,0.8529049560467791
conf_L28_c,0.6584853281578001,-0.7161763116412232,-0.2823873738532537,0.903974767988578,-0.883266281392698,-0.18467500429778566,0.9842305490824707,-0.953719589984789,0.5261608672977617,0.991186832614416,-0.9682392898394079,0.7258756870169917,0.9923711073105479,-0.9914943508752551,0.7637222525109597,0.9971191354972021,-0.9865075957204009,0.5624081975419399,0.9993423078819366,-0.9759357269436347,-0.8543686927061078,1.0,-0.9694987247556863,-0.36576696441747053,0.98989111122817,-0.9473013470165472,-0.9594968991407763
conf_L28_e,-0.6641935118104544,0.7411519771770183,0.30554583912074423,-0.8844442209919124,0.9006861144450308,0.12451676611480039,-0.9614057082755891,0.9723743939342626,-0.5299644941994497,-0.9639616341781112,0.9785766437213202,-0.776713903019264,-0.9440553348169739,0.9847006154816252,-0.7503540958894473,-0.9602010879260702,0.990554306207857,-0.5782165950097721,-0.9679508212798011,0.9974509378834959,0.845284322735629,-0.9694987247556863,1.0,0.40666678568591086,-0.9835402516630227,0.9874388419560994,0.9780499238901654
conf_L28_rnorm,-0.1548877756414693,0.14714896494967178,0.052659788662384625,-0.2675868036138971,0.2608758921425229,0.07429186892989291,-0.32228414960218016,0.3444563256504426,-0.049409699767494035,-0.34808604623233386,0.3552067210975905,-0.20588340408915554,-0.3783320228688494,0.400912596234576,-0.15656612985913765,-0.38472872378144135,0.4111779347297343,0.012747260775946357,-0.3720998167701864,0.39840710854714356,0.6576523910707327,-0.36576696441747053,0.40666678568591086,1.0,-0.37498852178088343,0.4043207183322756,0.4172930147825451
conf_L31_c,0.6733056921511202,-0.7355226776653647,-0.29456697018303946,0.9087834647251777,-0.8981219544696715,-0.1730841445946902,0.9828241794476537,-0.9663928193202417,0.5410255683011982,0.9850873034959307,-0.9755388767615388,0.7473739323441342,0.9715562301228094,-0.988429305762189,0.7604192885066716,0.9811381228526608,-0.9867564294266257,0.5785414735587564,0.9873930043382239,-0.9857652247359535,-0.8464907507939172,0.98989111122817,-0.9835402516630227,-0.37498852178088343,1.0,-0.978475555539794,-0.9821800295617584
conf_L31_e,-0.6671253287471698,0.7459721331788016,0.3081512765343965,-0.8774247651230999,0.8907942796672476,0.1203492167712608,-0.9454620631529598,0.9567460121945672,-0.5524306216850359,-0.9445226437719558,0.9583205959237733,-0.7826298675960633,-0.9176504229937141,0.9630525901285145,-0.7521460235742402,-0.9337724458273585,0.9682709358268407,-0.6034093672018486,-0.9432742517859634,0.9804216212971912,0.8164150628879087,-0.9473013470165472,0.9874388419560994,0.4043207183322756,-0.978475555539794,1.0,0.9833514227110963
conf_L31_rnorm,-0.663740065341576,0.7184446789216913,0.2897278379248139,-0.872027940261203,0.8816275965466084,0.14791070621278024,-0.9516909258446393,0.9572098294843888,-0.5020961584537682,-0.9557097452545117,0.9651400695967096,-0.7340136391830485,-0.9341631900024435,0.9697150241730467,-0.7241504117156289,-0.9496191520033976,0.9746287654282293,-0.547130009610765,-0.9570560854661867,0.9777357695060145,0.8529049560467791,-0.9594968991407763,0.9780499238901654,0.4172930147825451,-0.9821800295617584,0.9833514227110963,1.0
