example_id,mc_L12_c,mc_L12_e,mc_L12_rnorm,mc_L14_c,mc_L14_e,mc_L14_rnorm,mc_L15_c,mc_L15_e,mc_L15_rnorm,mc_L16_c,mc_L16_e,mc_L16_rnorm,mc_L18_c,mc_L18_e,mc_L18_rnorm,mc_L20_c,mc_L20_e,mc_L20_rnorm,mc_L24_c,mc_L24_e,mc_L24_rnorm,mc_L28_c,mc_L28_e,mc_L28_rnorm,mc_L31_c,mc_L31_e,mc_L31_rnorm,conf_L12_c,conf_L12_e,conf_L12_rnorm,conf_L14_c,conf_L14_e,conf_L14_rnorm,conf_L15_c,conf_L15_e,conf_L15_rnorm,conf_L16_c,conf_L16_e,conf_L16_rnorm,conf_L18_c,conf_L18_e,conf_L18_rnorm,conf_L20_c,conf_L20_e,conf_L20_rnorm,conf_L24_c,conf_L24_e,conf_L24_rnorm,conf_L28_c,conf_L28_e,conf_L28_rnorm,conf_L31_c,conf_L31_e,conf_L31_rnorm,mc_entropy,conf_signal
24,-0.7312745,0.3672,6.65,0.49556944,-0.1019,8.47,0.34332982,-0.1401,8.59,0.5031389,-1.259,9.75,0.030267864,-0.628,12.016,0.5927611,-1.189,13.76,-1.0281829,0.9526,19.77,0.8290034,0.6094,32.8,-11.533305,25.92,53.1,-0.8936932,0.624,6.574,-0.5967717,0.6245,7.863,0.456604,-0.02592,8.56,0.90386635,-1.213,9.97,1.8505332,-0.4758,11.41,1.3442748,-0.5728,12.945,-0.5178478,2.166,19.48,1.8599565,2.271,31.98,-23.391144,31.95,64.8,0.01202392578125,0.9222567304968834
25,-0.7276255,0.3433,6.594,0.2535618,0.4265,8.51,-0.03164777,0.806,8.79,0.028680012,0.01843,9.414,-1.0784649,1.466,11.586,-0.79027826,1.644,13.54,-2.6195664,4.87,20.05,-1.6651202,6.668,33.4,-19.995552,42.88,63.3,-1.0267001,0.6772,6.594,-0.55189055,0.6704,7.863,0.008196741,0.3184,8.55,0.40222162,-0.7485,9.79,0.9768879,0.0392,11.34,0.36917627,-0.01013,12.87,-1.9723336,2.97,19.61,-0.5633277,3.596,31.9,-31.04741,36.0,70.9,0.405029296875,0.8634766116738319
26,-0.41168916,-0.2993,6.645,1.3604488,-1.914,8.41,1.3541865,-2.201,8.65,1.6371466,-3.44,9.79,0.82068056,-2.176,11.7,1.308503,-2.48,13.51,-0.16888934,-0.9507,20.14,1.766999,-2.373,33.4,-9.725841,19.98,49.84,-0.80778503,0.4583,6.582,0.89311856,-0.527,7.945,2.3799129,-1.342,8.81,3.3352635,-2.691,10.375,5.191208,-2.578,12.12,4.881357,-2.879,13.39,4.521918,-1.375,19.5,10.151283,-3.379,32.22,-1.2631023,15.01,56.28,0.0005054473876953125,0.9499517306685447
27,-0.46634135,-0.134,6.613,1.2709599,-1.237,8.555,1.2993786,-1.444,8.625,1.5456398,-2.736,9.89,1.4867749,-2.955,12.71,1.74015,-3.047,13.88,0.6304599,-1.562,20.08,2.534692,-2.607,33.47,-11.86422,25.14,57.22,-0.83513457,0.4956,6.535,0.49246547,-0.04898,7.98,1.7720109,-0.7437,8.664,2.5702941,-2.04,10.09,4.594475,-1.945,11.94,4.1083956,-2.045,13.234,3.4587016,0.0789,19.33,8.180462,-0.702,32.12,-7.1780615,21.72,59.7,0.001766204833984375,0.9494221851229667
28,-0.7025554,0.3489,6.574,0.4385005,0.61,8.3,-0.036292605,1.013,8.58,-0.12412234,0.352,9.03,-1.1028185,1.928,11.32,-0.90297854,2.064,13.2,-2.8789144,5.277,19.86,-2.009451,7.38,33.0,-20.341787,43.12,61.94,-0.9871554,0.6836,6.637,-0.19754308,0.681,7.887,0.59618425,0.1937,8.586,1.1762564,-0.834,9.89,2.556269,-0.466,11.61,1.885467,-0.5005,13.055,0.06976837,2.14,19.28,2.641631,2.178,31.69,-19.696129,28.19,63.38,0.90478515625,0.9155285239219665
29,-0.5273237,-0.11633,6.617,1.2408738,-1.279,8.25,1.3269622,-1.461,8.71,1.5118877,-2.602,9.82,1.274027,-2.807,12.35,1.652786,-2.967,13.78,0.6159531,-1.832,20.14,2.7679935,-3.055,33.78,-10.443829,23.27,56.16,-1.0187646,0.5874,6.582,0.38018328,0.005062,7.895,2.439502,-0.928,8.99,3.1543682,-2.24,10.26,4.8370886,-2.15,11.82,4.441015,-2.406,13.22,3.9773316,-0.755,19.39,9.342384,-2.355,32.25,-2.533593,17.05,55.94,0.0009527206420898438,0.9497348442673682
30,-0.50958854,-0.03062,6.582,1.2678223,-1.269,8.51,1.0919584,-1.465,8.5,1.2773614,-2.63,9.7,0.577367,-1.842,11.81,1.1981764,-2.451,13.51,-0.34066087,-0.9014,19.84,1.6638288,-2.082,32.9,-9.206768,19.98,49.1,-0.89451694,0.553,6.59,0.12382478,0.1267,7.977,1.818374,-0.8745,8.71,2.6503692,-2.229,10.25,4.314437,-1.923,11.8,4.064776,-2.28,13.164,3.516949,-0.4243,19.3,8.565666,-1.992,31.78,-3.9457965,17.8,56.06,0.0011777877807617188,0.949606131017208
31,-0.5107785,-0.1338,6.66,1.2439338,-1.307,8.484,1.0432868,-1.45,8.68,1.3622344,-2.756,9.98,1.0105385,-2.514,12.21,1.5242383,-2.842,13.85,0.3858196,-1.523,20.02,2.505134,-2.646,33.75,-10.846811,24.23,54.44,-0.68522036,0.4746,6.426,0.5580753,-0.2393,7.836,1.7449856,-0.9624,8.65,2.4351454,-2.156,10.125,3.735505,-1.753,11.61,3.6159205,-2.064,12.984,2.8408127,-0.2058,19.16,7.305647,-1.178,31.88,-7.28898,20.25,57.0,0.0013103485107421875,0.9496628910303115
32,-0.5269627,-0.02385,6.656,1.1150936,-1.353,8.27,0.8712243,-1.346,8.63,1.1070566,-2.48,9.77,0.5068115,-1.693,11.83,1.0640185,-2.338,13.53,-0.58429706,-0.535,19.77,1.505005,-1.873,32.78,-8.407239,18.36,49.8,-0.7344525,0.55,6.484,0.1737617,-0.07697,8.04,1.3690382,-0.708,8.7,2.079823,-1.95,10.11,3.523355,-1.337,11.62,3.2466187,-1.608,12.99,2.52487,0.4553,19.52,6.4406137,-0.0771,32.6,-13.458391,26.97,63.6,0.0010852813720703125,0.948277285695076
33,-0.33904764,-0.388,6.598,1.127315,-1.733,8.445,1.0694989,-1.929,8.484,1.4140613,-3.158,9.734,0.29435787,-2.5,11.734,0.8001222,-3.164,13.67,-0.68554485,-2.002,19.67,1.2942309,-3.674,33.16,-9.297912,17.62,49.38,-0.774641,0.4395,6.5,0.22181788,-0.02446,8.11,1.6010249,-0.7114,8.67,2.3306496,-1.949,10.07,3.7661345,-1.664,11.72,3.505697,-1.97,13.234,2.5152612,0.1353,19.42,6.7101803,-0.9053,32.12,-10.62914,21.94,59.53,0.0002522468566894531,0.9466254234313964
34,-0.7035981,0.2317,6.605,0.37773916,0.04602,8.22,0.3421465,0.1065,8.63,0.23588896,-0.7417,9.6,-0.648773,0.04767,11.93,-0.15301853,-0.5,13.375,-1.8984077,1.894,19.7,-0.05925888,1.289,32.88,-11.519325,24.83,53.16,-0.87057114,0.6123,6.516,-0.69772696,0.482,7.945,0.77234787,-0.1866,8.73,1.3316693,-1.344,9.945,2.4647741,-0.633,11.3,2.0125742,-0.8433,12.73,0.5492763,1.725,19.4,3.4491868,1.7,32.12,-22.056658,31.58,65.4,0.0124359130859375,0.9395079016685486
35,-0.46863216,-0.25,6.605,1.2134488,-1.269,8.34,1.1525925,-1.477,8.664,1.2401276,-2.572,9.734,1.2628343,-2.854,11.945,1.5912995,-3.066,13.52,0.5153315,-1.951,19.84,2.508225,-2.965,33.84,-10.674195,22.75,53.97,-0.6676736,0.4133,6.473,0.7826915,-0.4434,7.887,2.3288355,-1.324,8.79,3.0011115,-2.611,10.32,4.7926445,-2.457,11.75,4.66486,-2.844,13.15,4.375202,-1.365,19.06,9.62751,-2.96,31.48,-1.495347,16.0,55.34,0.0003750324249267578,0.9499460980296134
36,-0.8885263,0.3623,6.82,0.122535735,0.3755,8.484,0.010164879,0.525,8.74,0.088592425,-0.3083,9.734,-0.5961244,1.082,11.58,-0.31285805,1.07,13.39,-2.1471665,4.074,20.55,-1.0368538,5.543,34.0,-17.594648,38.06,59.22,-1.1005367,0.674,6.676,-0.7063817,0.6323,8.02,0.2336142,0.08563,8.484,0.8164915,-1.169,10.01,1.25522,-0.231,11.336,0.8292707,-0.3691,12.85,-1.2707996,2.365,19.6,0.4871115,2.658,32.06,-27.45377,32.84,66.9,0.6455078125,0.8747167721390723
37,-0.7355139,0.3652,6.723,0.4465429,-0.3015,8.44,0.48631498,-0.434,8.49,0.8142923,-1.467,9.625,-0.35066274,-0.837,11.72,0.093316644,-1.323,13.57,-1.6368027,0.655,19.69,-0.053243876,0.3252,33.25,-13.085028,26.11,53.0,-0.95790803,0.65,6.613,-0.26210704,0.488,7.9,1.1910512,-0.3113,8.62,1.8298652,-1.619,9.89,2.7877884,-0.899,11.55,2.3945878,-1.1045,12.984,1.088366,1.232,19.2,4.283084,1.071,31.9,-15.6156435,26.38,60.62,0.010162353515625,0.9443483009934426
38,-0.95698804,0.569,6.67,-0.18092488,0.3015,8.375,-0.07052742,0.2817,8.46,0.05734928,-0.562,9.81,-1.0111725,0.395,11.53,-0.6394812,0.00494,13.12,-2.6046646,2.32,20.02,-1.4846907,3.11,33.56,-18.215256,34.4,57.9,-1.1145772,0.7,6.54,-1.1804361,0.83,7.914,-0.4330559,0.516,8.46,0.03834825,-0.5674,9.87,0.27773196,0.4321,11.46,-0.2403807,0.286,12.97,-2.9780016,3.383,19.94,-2.4973288,4.23,32.1,-38.713024,40.2,74.7,0.0723876953125,0.7875264883041382
39,-0.9167354,0.5493,6.715,-0.016923562,0.534,8.37,-0.34745947,0.764,8.51,-0.42257556,0.1449,9.52,-1.4442466,1.802,11.52,-1.3719424,1.927,13.34,-3.6053586,5.145,20.3,-3.1463993,7.723,34.0,-23.807169,47.88,67.3,-1.0572662,0.73,6.613,-0.975773,0.8906,7.95,-0.14785461,0.507,8.53,0.35005414,-0.592,9.88,1.274121,0.242,11.51,0.4972251,0.2035,12.92,-2.027836,3.248,19.77,-0.77311075,4.004,32.0,-32.44146,36.78,71.0,0.828125,0.8656684219837187
40,-0.42010322,-0.1755,6.617,1.2659541,-1.19,8.44,1.165269,-1.291,8.61,1.2902534,-2.404,9.65,1.2186165,-2.654,12.05,1.7312632,-2.947,13.59,0.63724256,-1.539,20.0,2.7689652,-2.598,33.72,-9.913368,22.72,54.16,-0.88086075,0.5786,6.562,0.06948809,0.2126,7.883,2.4056711,-0.8213,9.055,3.154877,-2.13,10.33,4.9784484,-2.125,11.914,4.5490775,-2.395,13.266,4.076809,-0.612,19.42,9.205708,-2.053,31.98,-3.6771624,18.69,57.2,0.000820159912109375,0.949857647716999
41,-0.8207149,0.5034,6.617,0.2585986,-0.11163,8.29,-0.09864092,0.2195,8.53,0.048675813,-0.611,9.55,-1.1679786,0.6206,11.6,-0.74126565,0.3967,13.49,-2.6906316,3.102,20.22,-1.4643738,4.062,33.7,-17.921791,36.53,59.06,-1.0769005,0.73,6.555,-0.80629516,0.634,7.957,-0.13863313,0.3186,8.46,0.31861055,-0.751,9.84,1.1152683,0.0589,11.44,0.42335057,0.0175,12.84,-2.1593719,2.96,19.62,-1.0091538,3.594,32.16,-33.86758,37.53,72.25,0.16015625,0.860163152217865
